Date,High,Low,Open,Close,Volume,Adj Close
2019-11-14,11.960000038146973,11.430000305175781,11.920000076293945,11.739999771118164,411000,11.739999771118164
2019-11-18,12.050000190734863,10.90999984741211,11.800000190734863,11.100000381469727,235800,11.100000381469727
2019-11-19,11.430000305175781,10.90999984741211,11.199999809265137,11.199999809265137,92800,11.199999809265137
2019-11-21,11.399999618530273,11.140000343322754,11.359999656677246,11.180000305175781,95700,11.180000305175781
2019-11-22,11.350000381469727,10.949999809265137,11.3100004196167,11.0600004196167,121900,11.0600004196167
2019-11-25,11.319999694824219,10.829999923706055,11.0600004196167,10.989999771118164,74000,10.989999771118164
2019-11-26,11.0,10.819999694824219,10.850000381469727,10.979999542236328,48700,10.979999542236328
2019-11-27,11.0600004196167,10.6899995803833,11.0,10.930000305175781,63500,10.930000305175781
2019-11-28,11.0,10.739999771118164,10.899999618530273,10.930000305175781,55900,10.930000305175781
2019-11-29,10.880000114440918,10.399999618530273,10.850000381469727,10.699999809265137,183100,10.699999809265137
2019-12-02,10.720000267028809,10.279999732971191,10.699999809265137,10.430000305175781,167000,10.430000305175781
2019-12-03,10.5,10.270000457763672,10.430000305175781,10.4399995803833,52400,10.4399995803833
2019-12-04,10.670000076293945,10.319999694824219,10.5,10.430000305175781,78800,10.430000305175781
2019-12-05,10.5,10.119999885559082,10.5,10.270000457763672,155700,10.270000457763672
2019-12-06,10.789999961853027,10.069999694824219,10.270000457763672,10.789999961853027,200800,10.789999961853027
2019-12-09,11.199999809265137,10.630000114440918,10.800000190734863,10.90999984741211,142500,10.90999984741211
2019-12-10,11.050000190734863,10.869999885559082,11.050000190734863,11.0,32500,11.0
2019-12-11,11.569999694824219,10.949999809265137,11.0,11.569999694824219,111700,11.569999694824219
2019-12-12,11.890000343322754,11.630000114440918,11.630000114440918,11.670000076293945,116300,11.670000076293945
2019-12-13,12.100000381469727,11.5,11.670000076293945,11.789999961853027,122400,11.789999961853027
2019-12-16,11.890000343322754,11.369999885559082,11.850000381469727,11.369999885559082,100900,11.369999885559082
2019-12-17,11.699999809265137,11.119999885559082,11.40999984741211,11.350000381469727,65100,11.350000381469727
2019-12-18,12.729999542236328,11.010000228881836,11.399999618530273,12.40999984741211,233000,12.40999984741211
2019-12-19,12.850000381469727,12.130000114440918,12.40999984741211,12.199999809265137,90700,12.199999809265137
2019-12-20,12.479999542236328,11.800000190734863,12.479999542236328,12.100000381469727,121600,12.100000381469727
2019-12-23,12.779999732971191,12.09000015258789,12.100000381469727,12.399999618530273,62300,12.399999618530273
2019-12-26,12.59000015258789,12.199999809265137,12.390000343322754,12.369999885559082,71000,12.369999885559082
2019-12-27,12.649999618530273,11.989999771118164,12.220000267028809,12.079999923706055,44000,12.079999923706055
2019-12-30,12.399999618530273,12.0,12.0,12.210000038146973,68900,12.210000038146973
2020-01-02,12.550000190734863,12.270000457763672,12.4399995803833,12.430000305175781,60800,12.430000305175781
2020-01-03,12.420000076293945,11.899999618530273,12.109999656677246,12.199999809265137,136100,12.199999809265137
2020-01-06,12.4399995803833,12.0,12.4399995803833,12.420000076293945,108400,12.420000076293945
2020-01-07,13.420000076293945,12.40999984741211,12.40999984741211,13.420000076293945,350300,13.420000076293945
2020-01-08,13.899999618530273,13.260000228881836,13.420000076293945,13.789999961853027,301400,13.789999961853027
2020-01-09,13.949999809265137,13.569999694824219,13.859999656677246,13.640000343322754,120500,13.640000343322754
2020-01-10,14.100000381469727,13.640000343322754,13.640000343322754,13.949999809265137,304000,13.949999809265137
2020-01-13,14.180000305175781,13.75,13.949999809265137,13.979999542236328,91500,13.979999542236328
2020-01-14,14.149999618530273,13.800000190734863,13.989999771118164,14.0,129300,14.0
2020-01-15,14.100000381469727,13.800000190734863,13.979999542236328,13.949999809265137,161700,13.949999809265137
2020-01-16,14.100000381469727,13.270000457763672,13.880000114440918,13.949999809265137,130800,13.949999809265137
