id,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AA,AA,AA,AA,AA,AA,AA,AA
2000000,-2.05,-2.646292418,-2.164817815,-2.230854226,-2.203433205,-2.053554233,-2.286904453,-2.28280494,-2.615915087,-2.145260479,-2.799051041,-2.215966159,-2.200450619,-2.147717131,-2.825550854,-2.136975228,-2.603539938,-2.205718293,-2.688453015,-2.225371881,-2.243352386,-2.734882835,-2.17816081,-2.236970487,-2.653939344,-2.08,-2.16,-2.66,-2.65,-2.64,-2.62,-2.61,-2.63
2998000,-3.14,-4.005770174,-3.292134416,-3.365816099,-3.328255301,-3.122369298,-3.434878934,-3.413522428,-3.974418604,-3.242633657,-4.231715495,-3.308952283,-3.291599436,-3.21981084,-4.250711603,-3.231088057,-3.94557001,-3.292419363,-4.045930531,-3.315842465,-3.363017231,-4.123932482,-3.254698571,-3.333904964,-4.033440528,-3.16,-3.25,-3.99,-3.99,-4.00,-3.98,-3.92,-3.96
3996000,-4.20,-5.406861304,-4.402529129,-4.498518074,-4.408114093,-4.185389921,-4.590257548,-4.571637323,-5.423439108,-4.332127249,-5.76681409,-4.405214069,-4.406097877,-4.29488106,-5.784779057,-4.304789841,-5.394126808,-4.380634356,-5.507643473,-4.418456623,-4.476361241,-5.606124501,-4.322752215,-4.438755595,-5.453567804,-4.26,-4.34,-5.46,-5.46,-5.50,-5.46,-5.36,-5.43
4994000,-5.27,-6.908327849,-5.537030796,-5.636796129,-5.538163565,-5.268640775,-5.729395591,-5.696408183,-6.885198333,-5.411900258,-7.195721963,-5.505805883,-5.489276874,-5.358330412,-7.301081859,-5.3984019,-6.827203732,-5.470508261,-6.933258855,-5.511474981,-5.587844899,-7.079465344,-5.414623019,-5.531913533,-6.891773723,-5.35,-5.45,-6.93,-6.95,-6.99,-6.87,-6.82,-6.90
5992000,-6.34,-8.588484954,-6.66354899,-6.77603947,-6.644034219,-6.33051793,-6.875417152,-6.827686531,-8.625763128,-6.491940181,-8.920552944,-6.607717967,-6.590357395,-6.428759276,-9.067483219,-6.479726941,-8.588055532,-6.576625323,-8.68384648,-6.616637714,-6.714373175,-8.774764053,-6.510866808,-6.643946373,-8.573157669,-6.43,-6.55,-8.58,-8.66,-8.87,-8.74,-8.50,-8.63
6990000,-7.43,-9.660775105,-7.804566784,-7.928694687,-7.760540366,-7.420315775,-8.030425558,-7.967310766,-10.63174031,-7.573184585,-10.92365359,-7.720785118,-7.698899859,-7.508091108,-11.14924599,-7.57062451,-10.64370132,-7.671441927,-10.64396924,-7.723553813,-7.822861236,-10.81561244,-7.596565568,-7.745731503,-10.75203294,-7.54,-7.66,-9.55,-9.51,-8.67,-9.81,-8.99,-8.94
7988000,-8.51,-9.462201195,-8.945687476,-9.0787725,-8.882317698,-8.49592502,-9.190037039,-9.124868923,-10.1227881,-8.671699669,-11.00210006,-8.824634275,-8.808577629,-8.578787208,-11.25122446,-8.671645432,-9.966035977,-8.777190151,-10.13056385,-8.837197245,-8.947745627,-10.85552722,-8.691806201,-8.848708752,-10.47343252,-8.64,-8.77,-9.22,-8.88,-8.50,-9.11,-8.78,-8.89
8986000,-9.60,-9.72256723,-10.08361528,-10.23630997,-10.00601351,-9.592095199,-10.35154115,-10.26806647,-10.20904974,-9.778544274,-11.54378926,-9.940066369,-9.918538724,-9.667366456,-12.16243094,-9.78036536,-9.973432865,-9.878664832,-10.44348354,-9.942413851,-10.08361636,-11.83332007,-9.783264641,-9.975736615,-11.00155626,-9.75,-9.88,-9.85,-9.74,-9.53,-9.66,-9.93,-9.98
9984000,-10.70,-10.92525917,-11.24924232,-11.40506804,-11.12854491,-10.67459834,-11.51883792,-11.43352272,-10.04947222,-10.87687296,-11.70461022,-11.06249594,-11.03990856,-10.76468009,-10.87792816,-10.89608108,-9.547071833,-10.99467783,-10.41107183,-11.06154019,-11.21962846,-11.09312056,-10.88512469,-11.10923812,-10.16763738,-10.86,-11.00,-10.97,-10.88,-10.66,-10.65,-11.01,-11.02
10982000,-11.81,-12.4886229,-12.40660918,-12.58305633,-12.26445939,-11.77224771,-12.69477273,-12.58730785,-12.17804922,-11.99021331,-13.92817698,-12.1899929,-12.1690521,-11.85935424,-12.75238199,-12.01072159,-11.66611534,-12.11755528,-12.21663064,-12.1925477,-12.36444024,-12.85007643,-12.0016654,-12.23793442,-12.008642,-11.98,-12.14,-12.47,-12.53,-12.56,-12.60,-12.71,-12.77
11980000,-12.93,-13.904426,-13.57061586,-13.76096821,-13.42344514,-12.88383481,-13.87268375,-13.76040871,-13.28402901,-13.09931669,-14.47194842,-13.3308904,-13.2960966,-12.95740128,-14.1798129,-13.13581713,-12.86323897,-13.250732,-13.61980758,-13.32203402,-13.51334004,-14.23445416,-13.11615994,-13.36499584,-13.15041904,-13.12,-13.28,-13.36,-13.39,-13.35,-13.73,-13.62,-13.64
12978000,-14.05,-15.30886765,-14.7578785,-14.9520559,-14.57112477,-14.00935971,-15.06713971,-14.94587044,-14.6933073,-14.2324382,-15.07369859,-14.47211385,-14.44375753,-14.07502667,-15.90199537,-14.26888084,-14.22752259,-14.37915841,-15.25338077,-14.46158039,-14.67016156,-15.91179483,-14.24062184,-14.51253134,-14.76465024,-14.25,-14.44,-14.88,-14.80,-14.73,-15.28,-15.03,-15.11
13976000,-15.20,-16.04931901,-15.94971429,-16.16515681,-15.72885961,-15.14501471,-16.26645413,-16.14208482,-15.53463616,-15.36384209,-16.46470021,-15.63305051,-15.6059554,-15.19360026,-16.32393778,-15.41182555,-15.02695121,-15.53019252,-15.7373959,-15.61419801,-15.83189579,-16.51836963,-15.38063738,-15.67523204,-15.47246241,-15.40,-15.59,-15.70,-15.65,-15.55,-15.89,-15.88,-15.97
14974000,-16.34,-17.48954469,-17.16508161,-17.37159007,-16.90859137,-16.28859725,-17.48363061,-17.34925754,-16.83322337,-16.51843092,-18.09276856,-16.79433925,-16.76465486,-16.32411513,-17.29650558,-16.57044483,-16.23580268,-16.68784441,-16.95810445,-16.76986997,-17.01370988,-17.58912292,-16.53002975,-16.83374729,-16.53190973,-16.56,-16.76,-17.23,-17.19,-17.06,-17.30,-17.47,-17.56
15972000,-17.50,-19.07396997,-18.3810683,-18.6008753,-18.07704331,-17.44259793,-18.70626023,-18.58201892,-18.35774174,-17.67271738,-19.78408188,-17.96749962,-17.95457226,-17.46792968,-19.04558248,-17.73864852,-17.75480602,-17.84712292,-18.57739832,-17.94641689,-18.2101644,-19.28320542,-17.68234428,-18.02035431,-18.06146675,-17.74,-17.94,-18.93,-18.89,-18.75,-18.88,-19.12,-19.20
16970000,-18.68,-20.37413074,-19.61030933,-19.8602726,-19.29732101,-18.60618601,-19.94526036,-19.80165781,-19.64729068,-18.85315593,-21.24580689,-19.16480196,-19.13471158,-18.62733499,-20.32475004,-18.94162429,-18.99587025,-19.03590284,-19.94070191,-19.12823292,-19.40302633,-20.45589288,-18.85713228,-19.20001323,-19.18880022,-18.93,-19.16,-20.09,-20.05,-19.88,-20.03,-20.25,-20.31
17968000,-19.87,-21.91399794,-20.86361397,-21.12027887,-20.50708042,-19.78970273,-21.2015093,-21.06152831,-21.12017241,-20.05181319,-23.05662066,-20.37468362,-20.34443565,-19.80401881,-21.74584476,-20.14087048,-20.36404725,-20.24673046,-21.39802725,-20.33293582,-20.628742,-21.9382397,-20.03771126,-20.42399761,-20.59077184,-20.13,-20.37,-21.42,-21.32,-21.19,-21.59,-21.57,-21.66
18966000,-21.08,-23.8065236,-22.14239003,-22.41568323,-21.72210715,-20.97841066,-22.46808795,-22.33281163,-22.74227031,-21.24518753,-25.04076174,-21.59480348,-21.56187409,-20.98201514,-23.4641135,-21.35495273,-21.91007285,-21.45073591,-23.0150555,-21.5453874,-21.85282437,-23.7473178,-21.23796236,-21.64365757,-22.06651757,-21.35,-21.58,-23.27,-23.16,-23.03,-23.43,-23.51,-23.57
19964000,-22.31,-25.5520112,-23.42880306,-23.70667329,-22.99310824,-22.19120376,-23.74289659,-23.60805734,-24.37234364,-22.45705272,-26.38861997,-22.82132887,-22.79105981,-22.17694939,-25.15597752,-22.58846539,-23.43331591,-22.66995932,-24.65509517,-22.77163203,-23.10324781,-25.57379286,-22.44481552,-22.87355523,-23.64630022,-22.59,-22.83,-24.91,-24.78,-24.65,-25.15,-24.97,-25.06
20962000,-23.55,-26.6577975,-24.74167191,-25.03448293,-24.24668684,-23.43210838,-25.05552251,-24.93341958,-26.03701739,-23.688332,-28.53308981,-24.08700746,-24.06723369,-23.41541779,-26.97422576,-23.83176819,-25.03259999,-23.93100624,-26.39893391,-24.0176517,-24.36711608,-27.42603735,-23.68723823,-24.13438334,-25.20395392,-23.84,-24.09,-26.32,-26.24,-26.01,-26.52,-26.13,-26.31
