id,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AA,AA,AA,AA,AA,AA,AA,AA
2.00,-2.245334938,-2.804548371,-2.0512279,-2.161641049,-2.180675414,-2.066080819,-2.352735491,-2.409042103,-2.554052989,-2.156818266,-2.783841126,-2.222977517,-2.235781079,-2.223569834,-2.825550854,-2.223217518,-2.616251113,-2.251251302,-2.632887554,-2.232974128,-2.214725811,-2.66689098,-2.27017221,-2.221713807,-2.611432314,-8.10,-2.21,-2.50,-2.58,-2.53,-2.65,-2.59,-2.63
3.00,-3.355388973,-4.239581671,-3.148502215,-3.282627933,-3.258126488,-3.119729823,-3.53162485,-3.587290897,-3.876020913,-3.283236857,-4.220096833,-3.332193511,-3.337388419,-3.307324144,-4.250711603,-3.315343907,-3.926309188,-3.353510394,-3.982183115,-3.323721896,-3.322101507,-4.025809516,-3.376791544,-3.319540012,-3.973604335,-9.01,-3.31,-3.83,-3.91,-3.89,-4.03,-3.91,-3.97
4.00,-4.474738922,-5.772305315,-4.219195007,-4.407166083,-4.334608379,-4.175342718,-4.712276754,-4.784908904,-5.309284709,-4.374882142,-5.768932214,-4.432796426,-4.440167864,-4.398525477,-5.784779057,-4.419223604,-5.390221847,-4.48859091,-5.431420732,-4.428344351,-4.432559771,-5.480110093,-4.513282864,-4.421267487,-5.393001227,-10.06,-4.43,-5.31,-5.30,-5.34,-5.54,-5.37,-5.42
4.99,-8.10,-2.21,-2.50,-2.58,-2.53,-2.65,-2.59,-2.63,-6.779868732,-5.483073128,-7.146738805,-5.536673225,-5.532086576,-5.507240267,-7.301081859,-5.517961175,-6.780275613,-5.599319907,-6.855522406,-5.508499456,-5.528961016,-6.91618967,-5.629539519,-5.527224143,-6.82900162,-11.17,-5.55,-6.81,-6.71,-6.83,-6.95,-6.86,-6.90
5.99,-9.01,-3.31,-3.83,-3.91,-3.89,-4.03,-3.91,-3.97,-8.4366267,-6.573077946,-8.918383456,-6.651227008,-6.639031978,-6.619266163,-9.067483219,-6.623614113,-8.539319015,-6.723097283,-8.600523622,-6.615381757,-6.621309519,-8.580472339,-6.742684364,-6.640663684,-8.495627396,-12.34,-6.67,-8.54,-8.24,-8.64,-8.88,-8.57,-8.63
6.99,-10.06,-4.43,-5.31,-5.30,-5.34,-5.54,-5.37,-5.42,-10.46577244,-7.675187096,-10.90533742,-7.75292508,-7.747089327,-7.716601549,-11.14924599,-7.733655841,-10.55529271,-7.832612939,-10.53787586,-7.719150181,-7.731076643,-10.60593561,-7.881823516,-7.746031046,-10.63115888,-13.54,-7.80,-9.07,-9.87,-8.65,-10.02,-8.73,-8.96
7.99,-11.17,-5.55,-6.81,-6.71,-6.83,-6.95,-6.86,-6.90,-9.881858777,-8.778888195,-10.45941657,-8.869537796,-8.852831236,-8.829437847,-11.25122446,-8.851833798,-9.738611767,-8.958739298,-9.926367929,-8.819987152,-8.840395707,-10.561472,-9.009352652,-8.850032059,-10.32973515,-14.78,-8.93,-8.57,-9.92,-8.35,-9.19,-8.66,-8.98
8.99,-12.34,-6.67,-8.54,-8.24,-8.64,-8.88,-8.57,-8.63,-9.926465398,-9.908263948,-11.09544646,-9.985894145,-9.970662397,-9.930876204,-12.16243094,-9.966172612,-9.646447386,-10.08688419,-10.18382116,-9.93114521,-9.953104178,-11.44162094,-10.13644775,-9.983868782,-10.75883126,-16.05,-10.06,-9.26,-10.37,-9.49,-9.61,-9.72,-9.91
9.98,-13.54,-7.80,-9.07,-9.87,-8.65,-10.02,-8.73,-8.96,-9.820820109,-11.02709689,-11.79057631,-11.11140138,-11.09397278,-11.05610516,-10.87792816,-11.09437645,-9.259782417,-11.23021279,-10.12769788,-11.05549662,-11.07871204,-10.6107039,-11.28756133,-11.1080523,-9.959539322,-17.33,-11.20,-10.50,-10.99,-10.85,-10.69,-11.00,-11.04
10.98,-14.78,-8.93,-8.57,-9.92,-8.35,-9.19,-8.66,-8.98,-11.37168708,-12.14686721,-14.05875276,-12.24695817,-12.22411862,-12.19408466,-12.75238199,-12.22420387,-11.330846,-12.3684402,-11.95044923,-12.18284565,-12.1984137,-12.33683549,-12.4440732,-12.24012425,-11.97652641,-18.61,-12.34,-12.28,-12.05,-12.65,-12.54,-12.64,-12.78
11.98,-16.05,-10.06,-9.26,-10.37,-9.49,-9.61,-9.72,-9.91,-12.83170342,-13.28313161,-14.52906518,-13.38399373,-13.36218752,-13.33331226,-14.1798129,-13.35949591,-12.51238554,-13.53094585,-13.31638182,-13.31589805,-13.33512534,-13.63004552,-13.60171598,-13.37551537,-13.15300049,-19.93,-13.51,-13.02,-13.22,-13.31,-13.79,-13.39,-13.70
12.98,-17.33,-11.20,-10.50,-10.99,-10.85,-10.69,-11.00,-11.04,-14.2497394,-14.44286627,-15.415818,-14.53696215,-14.50573908,-14.4729942,-15.90199537,-14.51494999,-13.91241868,-14.69215643,-14.71264937,-14.44959267,-14.47275261,-15.44150027,-14.77286055,-14.53046052,-14.63050443,-21.26,-14.67,-14.50,-14.72,-14.70,-15.34,-14.83,-15.13
13.98,-18.61,-12.34,-12.28,-12.05,-12.65,-12.54,-12.64,-12.78,-15.08021301,-15.59798441,-16.92745257,-15.6809536,-15.67657317,-15.63238702,-16.32393778,-15.67331237,-14.61817028,-15.86978184,-15.4195185,-15.62020525,-15.62608642,-15.92411091,-15.95300487,-15.68659499,-15.33626979,-22.61,-15.85,-15.34,-15.45,-15.59,-15.91,-15.67,-15.98
14.97,-19.93,-13.51,-13.02,-13.22,-13.31,-13.79,-13.39,-13.70,-16.40237301,-16.76714957,-18.13535685,-16.85589659,-16.83459323,-16.79407492,-17.29650558,-16.84517066,-15.84645957,-17.05687592,-16.64686326,-16.77941324,-16.78688696,-16.80432864,-17.14122688,-16.84861949,-16.43938635,-23.97,-17.03,-16.85,-17.11,-17.10,-17.30,-17.27,-17.56
15.97,-21.26,-14.67,-14.50,-14.72,-14.70,-15.34,-14.83,-15.13,-17.88069277,-17.93817072,-19.79883456,-18.03519019,-18.01765137,-17.9738131,-19.04558248,-18.02824992,-17.31209883,-18.2399736,-18.21226324,-17.95239566,-17.96540917,-18.50639156,-18.33792509,-18.05488826,-17.92946737,-25.33,-18.23,-18.50,-18.83,-18.81,-18.89,-18.90,-19.23
16.97,-22.61,-15.85,-15.34,-15.45,-15.59,-15.91,-15.67,-15.98,-19.14931889,-19.14163073,-21.40049834,-19.2404764,-19.20496934,-19.16533291,-20.32475004,-19.2281186,-18.55160322,-19.46279041,-19.51557614,-19.15537588,-19.15721628,-19.61294814,-19.55872359,-19.24386956,-19.09450521,-26.75,-19.46,-19.63,-19.97,-19.93,-20.08,-19.97,-20.35
17.97,-23.97,-17.03,-16.85,-17.11,-17.10,-17.30,-17.27,-17.56,-20.50724852,-20.3548246,-23.19446363,-20.45478951,-20.41145055,-20.36215269,-21.74584476,-20.43327922,-19.84728553,-20.68214682,-20.92570208,-20.34790186,-20.35643007,-21.01789124,-20.79128104,-20.46133517,-20.46371985,-28.16,-20.70,-20.97,-21.29,-21.24,-21.59,-21.32,-21.69
18.97,-25.33,-18.23,-18.50,-18.83,-18.81,-18.89,-18.90,-19.23,-22.05658537,-21.57188945,-24.93954328,-21.67475808,-21.63551785,-21.58970719,-23.4641135,-21.65546735,-21.3220472,-21.91917897,-22.50654383,-21.56764348,-21.56211935,-22.68027406,-22.03774241,-21.69589907,-21.88405108,-29.59,-21.92,-22.82,-23.13,-23.09,-23.46,-23.18,-23.63
19.96,-26.75,-19.46,-19.63,-19.97,-19.93,-20.08,-19.97,-20.35,-23.6431826,-22.81514987,-26.3933934,-22.90144729,-22.86963048,-22.81924093,-25.15597752,-22.89561259,-22.79058647,-23.1768122,-24.10742215,-22.80981282,-22.78838359,-24.36177599,-23.29277233,-22.92885281,-23.47274141,-31.04,-23.19,-24.49,-24.79,-24.76,-25.18,-24.67,-25.15
20.96,-28.16,-20.70,-20.97,-21.29,-21.24,-21.59,-21.32,-21.69,-25.23990591,-24.07322367,-28.33211561,-24.17724341,-24.13085586,-24.09227976,-26.97422576,-24.16879725,-24.34033873,-24.46023239,-25.80694121,-24.06009933,-24.04719303,-26.10360263,-24.58736138,-24.20342006,-25.02616804,-32.51,-24.48,-25.89,-26.27,-26.32,-26.52,-25.87,-26.37
21.96,-29.59,-21.92,-22.82,-23.13,-23.09,-23.46,-23.18,-23.63,-26.84445801,-25.36381744,-30.5345318,-25.45545666,-25.39933861,-25.38254606,-28.81908435,-25.45322863,-25.90041869,-25.76056117,-27.53482973,-25.33538349,-25.315243,-27.85179041,-25.89324304,-25.48768473,-26.64044107,-34.02,-25.79,-27.14,-27.57,-27.44,-27.72,-26.62,-27.26
22.96,-31.04,-23.19,-24.49,-24.79,-24.76,-25.18,-24.67,-25.15,-28.53154744,-26.67543237,-32.486168,-26.76422552,-26.69831334,-26.69724266,-30.69451171,-26.76932033,-27.46829389,-27.08476638,-29.25091004,-26.63576857,-26.59867949,-29.5256513,-27.22283931,-26.81391897,-28.27499554,-35.54,-27.12,-27.99,-28.55,-28.28,-28.47,-26.98,-27.59
23.96,-32.51,-24.48,-25.89,-26.27,-26.32,-26.52,-25.87,-26.37,-30.15759637,-28.00986495,-33.38337681,-28.08068924,-28.01959806,-28.02488859,-32.5196887,-28.10049903,-29.01756191,-28.42822442,-30.9244953,-27.95394199,-27.9067916,-30.93775014,-28.55898877,-28.14853225,-29.6951525,-37.12,-28.47,-28.66,-29.23,-28.70,-29.02,-27.51,-28.44
24.95,-34.02,-25.79,-27.14,-27.57,-27.44,-27.72,-26.62,-27.26,-31.81749545,-29.37124528,-32.92580625,-29.45059875,-29.35303475,-29.37788412,-34.51589738,-29.4604776,-30.57017372,-29.77627124,-32.63816791,-29.30499338,-29.22433174,-32.34870409,-29.93081604,-29.48123645,-31.24126363,-38.71,-29.84,-29.43,-30.07,-29.40,-29.73,-28.21,-29.01
25.95,-35.54,-27.12,-27.99,-28.55,-28.28,-28.47,-26.98,-27.59,-33.58357614,-30.73214537,-35.0543531,-30.80098535,-30.69620588,-30.72932444,-36.45031292,-30.80448818,-32.24921021,-31.20145877,-34.33879163,-30.65392866,-30.59346284,-33.60890193,-31.32059739,-30.8648925,-32.85999528,-40.30,-31.24,-30.45,-31.07,-30.23,-30.70,-29.20,-29.95
26.95,-37.12,-28.47,-28.66,-29.23,-28.70,-29.02,-27.51,-28.44,-35.05275005,-32.14429964,-36.70014449,-32.21536665,-32.10818489,-32.16912739,-37.91638649,-32.23424415,-33.82241736,-32.62880935,-35.59750817,-32.07406544,-31.96198408,-34.37268891,-32.78599616,-32.29621131,-34.11048333,-41.96,-32.68,-31.09,-32.21,-30.95,-31.37,-30.06,-30.74
27.95,-38.71,-29.84,-29.43,-30.07,-29.40,-29.73,-28.21,-29.01,-36.81974384,-33.62175241,-37.43333048,-33.64738065,-33.53591929,-33.6192723,-39.32065607,-33.67449508,-35.31640628,-34.09366099,-36.94353755,-33.49588981,-33.38865922,-35.55980863,-34.23254666,-33.75662845,-35.22447143,-43.65,-34.16,-32.37,-33.57,-32.37,-32.73,-31.35,-32.13
28.95,-40.30,-31.24,-30.45,-31.07,-30.23,-30.70,-29.20,-29.95,-38.51933343,-35.09681685,-36.92314082,-35.12582477,-35.01708775,-35.09398195,-41.29459419,-35.17799616,-37.11358459,-35.60043507,-38.4369059,-34.99327148,-34.81987349,-37.35990343,-35.74887667,-35.2295464,-36.88338748,-45.42,-35.68,-33.79,-34.99,-33.84,-34.02,-32.64,-33.45
29.94,-41.96,-32.68,-31.09,-32.21,-30.95,-31.37,-30.06,-30.74,-40.60260888,-36.63839855,-36.6939965,-36.64777617,-36.52876011,-36.64635593,-43.92200247,-36.69800142,-39.05149609,-37.15666392,-38.93793633,-36.50190835,-36.31914911,-38.17972277,-37.2914666,-36.78039014,-38.86104579,-47.20,-37.22,-34.19,-35.48,-34.01,-34.29,-33.13,-33.91
30.94,-43.65,-34.16,-32.37,-33.57,-32.37,-32.73,-31.35,-32.13,-42.59017137,-38.23873085,-37.93178185,-38.2086491,-38.06214723,-38.24698419,-45.98321852,-38.2863608,-40.42837285,-38.76258511,-38.65874453,-38.06395153,-37.86228224,-38.6284204,-38.88450861,-38.36280626,-40.45106207,-49.05,-38.83,-35.25,-36.38,-35.07,-35.35,-34.28,-35.10
31.94,-45.42,-35.68,-33.79,-34.99,-33.84,-34.02,-32.64,-33.45,-43.97960845,-39.84692472,-39.62529345,-39.81919665,-39.66905325,-39.86223404,-47.92832728,-39.90151042,-41.25857333,-40.42322707,-38.11468905,-39.68299002,-39.41493254,-38.56260197,-40.53904873,-40.00388969,-41.82630125,-50.93,-40.49,-36.73,-37.64,-36.59,-36.84,-35.80,-36.60
32.94,-47.20,-37.22,-34.19,-35.48,-34.01,-34.29,-33.13,-33.91,-44.81816771,-41.52437834,-40.39092733,-41.46763909,-41.3084833,-41.55025026,-47.92447962,-41.59471895,-41.66398419,-42.09053499,-38.02057906,-41.3271745,-41.04218908,-39.14793478,-42.22108288,-41.66883889,-42.67280537,-52.91,-42.19,-38.35,-39.17,-38.30,-38.50,-37.38,-38.23
33.94,-49.05,-38.83,-35.25,-36.38,-35.07,-35.35,-34.28,-35.10,-45.74409571,-43.26121705,-41.43579834,-43.19821359,-43.01098341,-43.31046624,-49.19994424,-43.32911548,-42.07053312,-43.84498952,-38.49391159,-43.03965755,-42.7261782,-40.40319602,-43.96928255,-43.4090961,-43.64043207,-54.96,-43.94,-40.06,-40.84,-40.16,-40.29,-39.10,-39.96
34.93,-50.93,-40.49,-36.73,-37.64,-36.59,-36.84,-35.80,-36.60,-45.98767942,-45.08559396,-42.19143571,-44.9751717,-44.76391675,-45.11522608,-51.80644914,-45.16888529,-42.2473945,-45.69562648,-39.19204335,-44.84590866,-44.45534227,-41.25744029,-45.78893658,-45.26097979,-45.7823535,-57.12,-45.78,-41.82,-42.43,-41.82,-41.95,-40.82,-41.72
35.93,-52.91,-42.19,-38.35,-39.17,-38.30,-38.50,-37.38,-38.23,-45.28537269,-46.9994139,-43.90449967,-46.81153784,-46.60490969,-47.01680484,-51.38755336,-47.01036731,-42.54445787,-47.58178911,-40.3856564,-46.67991282,-46.26641062,-42.77734641,-47.69127841,-47.14229253,-46.87697268,-59.37,-47.69,-43.80,-44.18,-43.65,-43.72,-42.74,-43.67
36.93,-54.96,-43.94,-40.06,-40.84,-40.16,-40.29,-39.10,-39.96,-44.89014415,-48.94992237,-45.83406663,-48.74067116,-48.54322947,-48.97559779,-49.40937032,-48.96405888,-43.32337971,-49.52566279,-41.97210055,-48.61643398,-48.11892131,-44.77777375,-49.64029184,-49.07418101,-47.44635404,-61.69,-49.68,-45.89,-46.09,-45.79,-45.80,-44.74,-45.73
37.93,-57.12,-45.78,-41.82,-42.43,-41.82,-41.95,-40.82,-41.72,-45.12315292,-50.9092054,-48.3272303,-50.77036408,-50.5295948,-51.03354307,-48.29217735,-50.98862677,-44.55689091,-51.57162795,-43.70047202,-50.62003653,-50.08783834,-46.68761854,-51.65730363,-51.06150524,-48.42708151,-64.02,-51.68,-48.10,-48.16,-47.98,-47.93,-46.81,-47.86
38.93,-59.37,-47.69,-43.80,-44.18,-43.65,-43.72,-42.74,-43.67,-46.09472942,-52.90514457,-50.17212896,-52.86504245,-52.63099313,-53.18474979,-48.31486588,-53.14900554,-46.01644071,-53.72908243,-45.4575402,-52.70571469,-52.11107655,-48.47574795,-53.76324164,-53.16076759,-49.7880655,-66.62,-53.80,-50.30,-50.34,-50.26,-50.12,-48.93,-50.03
39.92,-61.69,-49.68,-45.89,-46.09,-45.79,-45.80,-44.74,-45.73,-47.15370771,-55.1853684,-52.34444172,-55.12305267,-54.83777549,-55.49725229,-48.02815054,-55.43824939,-47.51029229,-56.01583074,-47.3539164,-54.97714537,-54.30209315,-50.17318752,-56.021739,-55.41706915,-51.30794251,-69.43,-56.10,-52.56,-52.56,-52.46,-52.35,-50.98,-52.18
40.92,-64.02,-51.68,-48.10,-48.16,-47.98,-47.93,-46.81,-47.86,-48.40359864,-57.60188888,-54.77685398,-57.50792738,-57.193663,-58.0140941,-48.8361001,-57.90746412,-49.32129028,-58.49984128,-49.37505509,-57.3823214,-56.56149114,-51.61233444,-58.43254276,-57.86975585,-52.75715015,-72.43,-58.53,-54.85,-54.70,-54.66,-54.48,-53.03,-54.23
41.92,-66.62,-53.80,-50.30,-50.34,-50.26,-50.12,-48.93,-50.03,-49.78485249,-60.24645861,-57.33569115,-59.9711855,-59.62185442,-60.62667626,-50.05055751,-60.45618228,-51.29928881,-61.04376328,-51.58606689,-59.90146365,-58.96034369,-53.27447194,-60.98800044,-60.43817822,-53.94023104,-75.50,-61.05,-57.20,-56.93,-56.95,-56.57,-55.00,-56.28
42.92,-69.43,-56.10,-52.56,-52.56,-52.46,-52.35,-50.98,-52.18,-51.53934003,-62.93041156,-59.59918862,-62.60880873,-62.21186444,-63.46962918,-51.91088594,-63.21322057,-53.45867568,-63.78192509,-53.91627197,-62.59311604,-61.47455225,-55.27574671,-63.67609826,-63.17536771,-55.34163699,-78.98,-63.70,-59.53,-59.41,-59.22,-58.74,-57.02,-58.39
